[00001] t,ax,ay,az,gx,gy,gz,press,temp,mx,my,mz,bat_v
[00060] 14,-0.996,0.061,0.122,-10.29,-0.79,3.18,105.65,28.7,4399,1400,1028,4.029
[00061] 14,-0.995,0.018,0.077,-19.54,1.44,1.32,92.78,28.7,4396,1358,1208,4.024
[00062] 15,-0.994,0.019,0.117,-21.66,-4.87,0.24,100.53,28.7,4376,1162,1515,4.023
[00063] 15,-0.977,0.021,0.081,-12.6,-0.71,1.01,94.87,28.72,4381,975,1673,4.02
[00064] 15,-1.006,-0.019,0.089,-25.24,4.43,-0.23,93.05,28.68,4394,840,1701,4.024
[00065] 15,-0.998,-0.017,0.09,-26.88,0.12,1.53,93.26,28.71,4399,730,1753,4.023
[00066] 16,-1.008,-0.025,0.132,-33.49,-2.89,2.15,93.52,28.7,4388,593,1815,4.024
[00067] 16,-0.99,-0.026,0.088,-8.63,-0.27,0.58,91.26,28.7,4376,510,1852,4.022
[00068] 16,-1.002,-0.029,0.091,-12.31,-0.63,0.89,101.27,28.72,4374,462,1861,4.024
[00069] 16,-0.993,-0.027,0.101,-12.48,-0.12,1.53,95.68,28.71,4372,420,1874,4.021
[00070] 17,-0.982,-0.019,0.072,-3.16,-3.0,3.03,94.32,28.71,4381,388,1863,4.02
[00071] 17,-0.992,-0.019,0.101,-16.41,-4.24,2.68,99.86,28.74,4357,367,1898,4.021
[00072] 17,-0.997,-0.011,0.092,-6.62,-0.98,1.57,99.0,28.76,4348,359,1924,4.025
[00073] 17,-0.99,-0.01,0.101,-10.27,-0.85,0.34,98.9,28.73,4334,341,1946,4.023
[00074] 18,-0.994,-0.007,0.098,-2.08,1.39,0.46,100.96,28.74,4347,298,1938,4.026
[00075] 18,-0.989,-0.012,0.105,-8.64,0.14,0.33,97.56,28.75,4347,263,1968,4.023
[00076] 18,-0.997,-0.02,0.105,-36.36,-1.37,2.18,100.57,28.79,4348,94,1975,4.028
[00077] 18,-0.985,-0.0,0.093,11.14,-5.14,-2.27,99.21,28.76,4349,25,1955,4.021
[00078] 19,-0.984,-0.017,0.105,-10.53,-1.08,-0.62,100.49,28.77,4321,-55,1937,4.019
[00079] 19,-1.02,-0.083,0.083,-17.04,0.42,1.6,100.5,28.77,4334,-177,1909,4.021
[00080] 19,-0.985,-0.015,0.089,-11.52,0.98,1.86,100.66,28.78,4353,-274,1862,4.025
[00081] 19,-1.0,-0.046,0.093,-8.55,-0.75,-0.76,100.85,28.81,4358,-336,1834,4.022
[00082] 20,-0.995,-0.051,0.103,-14.23,0.15,0.75,102.17,28.79,4365,-410,1817,4.018
[00083] 20,-0.991,-0.034,0.085,-14.31,-0.53,0.28,100.71,28.81,4367,-476,1783,4.023
[00084] 20,-0.996,-0.066,0.081,-16.85,0.32,1.34,94.53,28.82,4370,-569,1727,4.019
[00085] 20,-0.99,-0.066,0.085,-22.3,0.78,0.97,95.13,28.82,4371,-668,1678,4.019
[00086] 21,-0.989,-0.058,0.079,-12.93,-0.2,-0.06,100.9,28.82,4378,-766,1587,4.022
[00087] 21,-1.008,-0.062,0.071,-15.75,0.1,0.11,100.38,28.83,4397,-833,1517,4.024
[00088] 21,-1.0,-0.071,0.059,-12.0,0.89,0.4,100.89,28.84,4384,-923,1455,4.02
[00089] 21,-0.998,-0.066,0.068,-9.2,-0.79,0.89,92.67,28.83,4388,-958,1418,4.021
[00090] 22,-0.994,-0.074,0.069,-13.53,0.01,0.34,101.31,28.86,4378,-1025,1364,4.023
[00091] 22,-0.997,-0.069,0.068,-2.69,0.42,0.44,92.91,28.84,4382,-1059,1282,4.023
[00092] 22,-0.996,-0.073,0.052,-12.19,0.41,0.36,100.92,28.88,4393,-1084,1221,4.021
[00093] 22,-0.999,-0.074,0.055,-13.94,0.67,1.22,104.09,28.9,4384,-1120,1149,4.025
[00094] 23,-0.998,-0.071,0.049,-10.11,0.5,0.51,95.14,28.86,4393,-1161,1011,4.02
[00095] 23,-1.003,-0.073,0.042,-14.13,-0.72,-0.69,93.73,28.85,4388,-1212,905,4.021
[00096] 23,-0.998,-0.099,0.026,-30.4,1.29,0.48,100.86,28.86,4389,-1269,770,4.021
[00097] 23,-0.988,-0.071,0.031,-18.77,-0.24,-1.27,99.65,28.87,4385,-1302,643,4.021
[00098] 24,-1.003,-0.082,0.019,-33.51,-1.47,-0.37,99.26,28.88,4396,-1322,510,4.021
[00099] 24,-0.994,-0.089,0.036,-26.97,-2.17,-0.17,99.59,28.88,4395,-1309,392,4.024
[00100] 24,-1.004,-0.093,0.006,-9.84,0.05,0.3,100.04,28.88,4357,-1293,290,4.019
[00101] 24,-0.994,-0.082,-0.002,-30.93,0.0,0.37,100.19,28.89,4370,-1279,146,4.022
[00102] 25,-0.996,-0.084,-0.005,-13.75,1.13,0.58,100.43,28.87,4364,-1239,21,4.022
[00103] 25,-0.986,-0.074,0.011,-33.73,0.27,3.73,99.66,28.9,4406,-1184,-51,4.018
[00104] 25,-1.0,-0.081,0.007,-10.31,-0.85,0.52,97.98,28.93,4415,-1127,-148,4.025
[00105] 25,-0.999,-0.083,-0.012,-21.04,3.71,3.43,100.75,28.89,4427,-1025,-241,4.022
[00106] 26,-0.993,-0.047,-0.019,-20.74,-0.65,1.13,100.47,28.93,4430,-958,-337,4.02
[00107] 26,-0.999,-0.053,-0.013,-22.47,-1.53,1.47,100.55,28.92,4440,-882,-407,4.039
[00108] 26,-1.008,-0.049,-0.021,-17.57,-0.94,0.36,92.78,28.94,4450,-805,-478,4.021
[00109] 26,-0.991,-0.055,-0.034,-0.16,1.53,-1.14,100.87,28.93,4448,-756,-581,4.023
[00110] 27,-0.982,-0.039,0.017,-20.44,-0.13,1.01,94.65,28.93,4456,-474,-701,4.023
[00111] 27,-1.015,-0.015,-0.016,-13.24,-1.05,-0.42,101.06,28.93,4460,-384,-726,4.02
[00112] 27,-0.981,-0.034,-0.002,-17.21,0.69,1.11,100.6,28.92,4463,-227,-769,4.024
[00113] 27,-1.003,0.002,-0.049,-17.3,-0.84,-0.87,93.51,28.96,4466,-120,-775,4.024
[00114] 28,-0.95,-0.052,-0.074,-13.35,3.59,-0.92,100.98,28.96,4445,-91,-818,4.026
[00115] 28,-1.005,-0.02,-0.063,-20.12,-2.07,-0.19,94.41,28.97,4435,45,-858,4.019
[00116] 28,-0.996,-0.015,-0.052,-11.78,1.03,1.21,101.2,28.94,4423,254,-872,4.024
[00117] 28,-1.004,-0.011,-0.04,7.08,-1.5,-0.18,100.21,28.98,4421,309,-861,4.025
[00118] 29,-1.008,-0.009,-0.011,-11.66,0.15,0.08,102.01,28.96,4425,414,-840,4.021
[00119] 29,-1.01,-0.01,-0.024,-10.47,-0.53,0.26,101.16,28.97,4417,537,-837,4.023
[00120] 29,-1.004,0.007,-0.032,0.37,1.02,0.06,100.98,28.98,4421,613,-771,4.018
[00121] 29,-0.998,0.007,-0.034,-29.69,-1.24,-1.6,100.53,28.98,4432,689,-692,4.026
[00122] 30,-0.995,-0.002,-0.015,-26.09,-0.02,1.1,100.61,28.99,4431,819,-634,4.021
[00123] 30,-1.001,-0.024,0.018,-36.5,-2.15,-7.34,100.46,29.0,4388,986,-499,4.022
[00124] 30,-1.002,0.002,0.012,-19.3,-1.05,2.27,100.71,28.99,4429,1117,-368,4.022
[00125] 30,-1.007,0.008,0.016,-2.66,0.34,-1.82,100.29,29.02,4424,1135,-309,4.025
[00126] 31,-1.006,0.011,0.013,-28.76,1.24,2.3,100.33,29.02,4435,1222,-222,4.021
[00127] 31,-0.999,0.034,0.005,-24.6,0.87,0.22,98.73,29.0,4426,1303,-137,4.021
[00128] 31,-1.0,0.004,0.005,-10.45,0.62,1.09,101.59,29.04,4406,1392,-14,4.018
[00129] 31,-0.994,0.038,-0.01,-15.63,-0.34,0.85,100.68,29.04,4410,1443,85,4.021
[00130] 32,-1.011,0.028,0.012,-13.4,-0.11,0.41,98.95,29.06,4407,1482,207,4.021
[00131] 32,-1.001,0.045,0.006,-17.27,0.15,-1.94,103.54,29.03,4405,1506,302,4.02
[00132] 32,-0.993,0.031,0.016,-10.83,0.81,-0.49,100.19,29.03,4408,1493,404,4.022
[00133] 32,-1.006,0.043,0.008,0.08,-0.11,-0.15,101.05,29.08,4426,1495,431,4.019
[00134] 33,-1.002,0.024,0.014,-0.38,-0.21,0.31,103.6,29.08,4418,1497,441,4.021
[00135] 33,-0.981,0.04,0.029,-3.68,0.4,-0.3,98.01,29.04,4420,1497,451,4.022
[00136] 33,-1.001,0.031,0.018,-0.47,-0.41,-0.08,96.94,29.06,4419,1491,459,4.026
[00137] 33,-1.006,0.027,0.025,-12.02,0.21,-0.26,100.84,29.09,4415,1494,495,4.019
[00138] 34,-1.0,0.026,0.028,-17.58,-0.45,0.15,92.87,29.09,4405,1489,603,4.019
[00139] 34,-1.008,0.022,0.032,-7.1,0.1,0.53,99.22,29.12,4405,1474,697,4.024
[00140] 34,-0.995,0.036,0.029,-11.5,0.47,-0.31,100.84,29.11,4408,1447,797,4.022
[00141] 34,-0.991,0.04,0.035,-17.02,-0.47,-0.15,91.44,29.11,4401,1407,881,4.019
[00142] 35,-0.986,0.025,0.047,-24.86,-0.34,-0.58,96.95,29.09,4408,1348,1020,4.024
[00143] 35,-0.995,0.024,0.049,-30.35,-2.14,2.81,92.06,29.12,4392,1297,1161,4.022
[00144] 35,-1.001,0.01,0.06,-14.25,-1.09,0.67,97.76,29.12,4393,1225,1277,4.02
[00145] 35,-0.999,0.018,0.056,-22.79,-1.05,0.26,95.97,29.13,4391,1119,1401,4.022
[00146] 36,-0.992,0.019,0.065,-15.62,0.05,-0.11,101.01,29.15,4392,1033,1508,4.021
[00147] 36,-0.996,0.004,0.074,-13.11,-0.43,-0.08,94.67,29.12,4340,946,1586,4.025
[00148] 36,-0.999,0.009,0.065,-5.76,0.34,-0.27,98.88,29.14,4329,890,1617,4.018
[00149] 36,-0.971,0.001,0.103,126.08,3.15,-2.07,100.57,29.15,4354,1169,1364,4.021
[00150] 37,-0.965,0.036,0.013,130.05,6.18,-9.37,101.07,29.15,4426,1388,663,4.016
[00151] 37,-1.091,-0.165,0.119,249.5,2.42,10.18,100.48,29.13,4479,944,-261,4.019
[00152] 37,-1.03,0.033,0.031,15.95,-13.36,3.6,100.93,29.17,4526,391,-620,4.025
[00153] 37,-0.922,0.119,0.053,91.89,-5.57,0.47,100.34,29.15,4650,91,-369,4.019
[00154] 38,-0.994,0.078,-0.015,53.4,4.9,-7.77,98.53,29.16,4628,-486,-205,4.021
[00155] 38,-0.952,-0.024,0.004,-4.01,-1.26,4.87,94.49,29.17,4541,-929,-101,4.023
[00156] 38,-1.032,-0.03,-0.002,13.39,1.39,10.98,100.72,29.18,4610,-948,-143,4.021
[00157] 38,-0.927,-0.247,-0.087,62.24,-27.92,-9.33,100.87,29.2,4305,-1807,-266,4.02
[00158] 39,-0.867,-0.307,-0.072,54.23,12.53,-25.78,93.87,29.18,3855,-2607,-160,4.023
[00159] 39,-0.89,-0.546,-0.213,21.84,15.53,5.88,93.6,29.17,3585,-2945,-81,4.021
[00160] 39,-0.851,-0.509,-0.141,15.11,-9.07,21.34,94.25,29.21,3608,-2926,54,4.021
[00161] 39,-0.988,-0.178,-0.113,-19.27,-25.75,96.17,99.82,29.2,4525,-1354,429,4.031
[00162] 40,-0.939,-0.031,0.007,5.25,-21.31,39.51,95.13,29.2,4648,-902,685,4.022
[00163] 40,-1.002,-0.02,0.02,3.07,-16.69,23.05,101.47,29.2,4662,-701,941,4.027
[00164] 40,-1.05,0.054,0.083,0.39,-0.25,-6.13,100.31,29.22,4620,-839,1007,4.02
[00165] 40,-0.995,0.036,0.093,-8.96,-2.92,1.62,93.84,29.22,4641,-697,1006,4.025
[00166] 41,-1.015,0.13,0.07,3.11,2.61,0.31,95.44,29.2,4670,-592,974,4.025
[00167] 41,-0.947,0.12,0.063,-14.5,3.05,13.84,100.62,29.23,4712,-377,975,4.02
[00168] 41,-0.979,0.207,0.052,30.47,2.97,18.35,101.07,29.24,4771,-68,860,4.028
[00169] 41,-0.937,0.357,0.01,0.76,-0.79,9.16,101.05,29.26,4771,517,806,4.02
[00170] 42,-0.942,0.32,0.031,-4.75,1.33,7.31,101.03,29.23,4720,660,791,4.021
[00171] 42,-0.919,0.364,0.022,2.02,1.94,7.72,100.85,29.25,4713,819,762,4.024
[00172] 42,-0.905,0.403,0.011,-3.6,0.11,7.22,100.24,29.24,4694,973,755,4.022
[00173] 42,-0.9,0.414,0.024,-5.03,-0.65,1.25,99.38,29.25,4678,1027,761,4.022
[00174] 43,-0.91,0.423,0.042,0.16,-0.01,5.8,99.11,29.27,4689,1119,750,4.021
[00175] 43,-0.88,0.481,0.032,-7.49,-0.05,15.42,100.61,29.28,4637,1312,768,4.023
[00176] 43,-0.868,0.511,0.055,-3.06,-1.02,5.02,100.56,29.27,4621,1464,796,4.022
[00177] 43,-0.854,0.515,0.072,-0.01,-0.59,7.45,100.67,29.28,4605,1580,816,4.02
[00178] 44,-0.83,0.549,0.07,0.31,0.16,8.32,99.64,29.26,4555,1738,800,4.023
[00179] 44,-0.819,0.552,0.07,-3.8,-2.18,6.4,100.78,29.25,4508,1867,822,4.026
[00180] 44,-0.812,0.593,0.082,0.95,0.37,0.34,101.03,29.29,4487,1942,828,4.022
[00181] 44,-0.804,0.599,0.083,0.36,-0.06,0.81,96.95,29.29,4464,1992,831,4.021
[00182] 45,-0.792,0.605,0.086,-4.32,0.34,2.2,99.17,29.29,4425,2068,835,4.017
[00183] 45,-0.778,0.615,0.104,3.46,-0.45,4.08,96.1,29.31,4407,2117,846,4.024
[00184] 45,-0.758,0.641,0.089,-0.01,0.37,1.57,96.56,29.29,4376,2176,843,4.028
[00185] 45,-0.765,0.615,0.087,-1.52,0.34,1.69,97.75,29.28,4351,2229,849,4.024
[00186] 46,-0.751,0.645,0.096,-0.72,-0.35,3.31,100.86,29.31,4312,2278,869,4.026
[00187] 46,-0.73,0.673,0.11,-2.34,-0.01,2.3,91.84,29.32,4273,2353,879,4.028
[00188] 46,-0.727,0.668,0.104,1.57,-0.74,4.41,96.84,29.32,4233,2432,884,4.027
[00189] 46,-0.722,0.701,0.109,-1.23,0.29,0.29,93.2,29.32,4198,2506,894,4.026
[00190] 47,-0.686,0.716,0.119,1.98,0.92,4.25,98.28,29.34,4139,2602,909,4.024
[00191] 47,-0.696,0.736,0.127,-1.61,-0.22,7.8,102.74,29.32,4089,2670,950,4.021
[00192] 47,-0.665,0.741,0.13,2.02,1.09,4.55,108.32,29.35,4044,2750,950,4.022
[00193] 47,-0.661,0.724,0.112,-2.41,0.44,0.8,93.09,29.35,3961,2817,942,4.025
[00194] 48,-0.653,0.749,0.135,0.84,-0.69,2.07,94.7,29.34,3909,2858,980,4.022
