[00001] t,ax,ay,az,gx,gy,gz,press,temp,mx,my,mz,bat_v
[00257] 63,1.013,-0.03,0.066,6.83,4.69,4.87,100.62,29.49,-4080,1064,665,4.017
[00258] 64,0.948,-0.026,0.091,-5.15,5.7,12.53,100.96,29.5,-4108,970,698,4.019
[00259] 64,1.052,-0.139,0.098,3.37,2.65,22.87,99.01,29.46,-4165,616,628,4.02
[00260] 64,0.944,-0.158,0.104,-1.43,-9.11,13.71,97.8,29.5,-4200,175,716,4.024
[00261] 64,0.958,-0.287,0.097,-2.73,1.49,14.8,98.8,29.48,-4180,-167,732,4.023
[00262] 65,0.91,-0.372,0.125,14.06,-11.18,13.7,100.72,29.43,-4144,-495,680,4.023
[00263] 65,0.911,-0.451,0.082,10.83,1.37,10.11,96.71,29.47,-4094,-789,676,4.022
[00264] 65,0.846,-0.492,0.13,18.23,-1.09,17.44,96.33,29.44,-3996,-1134,799,4.022
[00265] 65,0.848,-0.552,0.093,-3.14,0.47,-2.67,100.94,29.48,-3930,-1341,728,4.02
[00266] 66,0.811,-0.543,0.133,4.68,2.87,2.1,97.63,29.47,-3833,-1566,805,4.02
[00267] 66,0.779,-0.608,0.153,-11.16,-1.85,15.63,101.09,29.45,-3759,-1719,831,4.026
[00268] 66,0.721,-0.675,0.171,5.18,-3.22,6.15,97.83,29.49,-3605,-1996,963,4.023
[00269] 66,0.642,-0.741,0.153,-6.39,7.92,29.09,92.5,29.5,-3394,-2373,955,4.02
[00270] 67,0.576,-0.77,0.136,-6.59,9.73,22.53,94.89,29.47,-3097,-2780,1012,4.02
[00271] 67,0.507,-0.839,0.144,-1.11,11.42,27.24,100.83,29.51,-2735,-3154,1167,4.022
[00272] 67,0.336,-0.894,0.168,3.82,2.44,23.22,98.08,29.48,-2302,-3495,1249,4.025
[00273] 67,0.289,-0.908,0.178,-3.86,10.06,25.43,100.71,29.5,-1935,-3734,1356,4.023
[00274] 68,0.17,-0.945,0.164,-6.66,10.91,26.77,101.05,29.48,-1500,-3940,1428,4.02
[00275] 68,0.052,-0.979,0.191,-0.08,2.03,-0.29,100.5,29.48,-1121,-4032,1543,4.022
[00276] 68,-0.005,-1.001,0.225,-3.06,3.14,17.4,100.67,29.47,-876,-4066,1655,4.024
[00277] 68,-0.066,-0.973,0.184,12.29,8.53,19.6,100.46,29.51,-487,-4154,1612,4.023
[00278] 69,-0.203,-0.98,0.238,-14.43,6.52,24.4,101.01,29.5,14,-4181,1662,4.025
[00279] 69,-0.3,-0.954,0.172,1.3,7.69,16.33,100.97,29.5,457,-4205,1587,4.026
[00280] 69,-0.344,-0.906,0.169,4.55,4.98,18.98,100.05,29.49,742,-4164,1617,4.025
[00281] 69,-0.453,-0.863,0.13,-3.6,-0.35,29.86,98.99,29.48,1427,-4045,1547,4.02
[00282] 70,-0.621,-0.85,0.114,-21.44,7.09,19.51,100.84,29.48,1865,-3925,1385,4.023
[00283] 70,-0.635,-0.776,0.081,-1.89,8.31,21.98,99.19,29.45,2231,-3772,1278,4.021
[00284] 70,-0.724,-0.704,0.044,2.98,7.01,23.26,93.55,29.54,2733,-3496,1150,4.027
[00285] 70,-0.8,-0.574,-0.02,-16.19,-1.08,19.18,96.22,29.5,3181,-3180,880,4.025
[00286] 71,-0.889,-0.443,-0.049,-3.75,-2.67,23.89,93.76,29.49,3588,-2764,716,4.026
[00287] 71,-0.899,-0.183,0.029,-17.55,-10.5,45.27,100.98,29.51,4144,-1892,764,4.025
[00288] 71,-0.965,-0.13,-0.075,-18.58,9.73,54.56,101.18,29.49,4483,-1021,680,4.025
[00289] 71,-0.873,-0.422,-0.196,22.06,15.57,-130.27,92.83,29.51,3774,-2590,350,4.025
[00290] 72,-0.337,-1.023,0.109,87.23,-7.95,-160.85,101.03,29.53,539,-4228,1653,4.027
[00291] 72,-0.161,-0.775,0.274,-19.88,-2.97,-5.86,93.69,29.53,-200,-4185,1726,4.029
[00292] 72,0.191,-0.848,0.244,-48.35,9.8,-148.92,92.73,29.55,-1840,-3669,1672,4.025
[00293] 72,0.467,-1.051,0.163,5.69,-11.52,-23.63,94.71,29.5,-2893,-2964,1288,4.023
[00294] 73,0.823,-0.647,-0.012,26.13,-14.1,-39.42,99.78,29.5,-3643,-2077,631,4.026
[00295] 73,0.861,-0.376,-0.005,9.49,-11.12,-108.25,96.18,29.54,-4158,269,329,4.027
[00296] 73,0.977,0.007,-0.016,2.71,14.47,-24.97,100.49,29.49,-3776,1847,249,4.021
[00297] 73,0.887,0.348,-0.064,40.71,-13.0,-24.85,92.96,29.51,-3391,2518,61,4.029
[00298] 74,1.089,0.228,0.057,-7.68,96.56,31.17,100.13,29.54,-3731,1663,1304,4.024
[00299] 74,0.913,-0.116,0.429,-4.51,19.65,9.42,101.07,29.52,-3608,1231,2113,4.026
[00300] 74,0.91,0.033,0.442,5.56,16.36,-1.79,100.79,29.49,-3499,1203,2367,4.025
[00301] 74,0.773,-0.044,0.578,-12.75,14.98,-2.82,100.82,29.51,-3192,1076,2899,4.017
[00302] 75,0.776,0.055,0.749,11.79,37.14,-2.78,100.86,29.52,-2775,1229,3369,4.023
[00303] 75,0.647,-0.087,0.829,-14.92,13.65,13.5,101.0,29.54,-2422,1023,3692,4.023
[00304] 75,0.557,-0.052,0.827,0.08,24.05,-0.03,100.53,29.53,-2069,965,3958,4.023
[00305] 75,0.451,-0.033,0.869,0.43,31.07,-3.33,100.5,29.53,-1606,1161,4187,4.023
[00306] 76,0.359,-0.057,0.906,1.45,21.09,-0.64,97.49,29.54,-1108,1202,4399,4.024
[00307] 76,0.213,-0.06,0.977,3.28,23.76,-3.47,97.2,29.52,-455,1256,4569,4.025
[00308] 76,0.033,-0.005,0.98,17.21,50.49,-2.31,94.59,29.53,477,1473,4603,4.024
[00309] 76,-0.215,0.055,0.972,20.01,48.03,-4.02,92.56,29.52,1526,1792,4314,4.018
[00310] 77,-0.44,0.139,0.885,15.47,33.48,-6.08,99.28,29.54,2331,1983,3868,4.022
[00311] 77,-0.563,0.139,0.819,13.26,39.15,-3.6,93.76,29.6,2961,2050,3363,4.024
[00312] 77,-0.679,0.139,0.727,-0.6,17.4,-8.45,101.07,29.57,3377,1972,2977,4.024
[00313] 77,-0.749,0.167,0.641,-0.69,21.71,-8.36,90.53,29.54,3679,1930,2567,4.023
[00314] 78,-0.842,0.142,0.555,6.0,27.76,-1.45,93.89,29.58,3955,1873,2087,4.028
[00315] 78,-0.861,0.183,0.42,9.42,26.53,-5.57,99.9,29.57,4146,1925,1458,4.021
[00316] 78,-0.955,0.159,0.283,8.18,29.05,-2.94,100.79,29.58,4314,1759,812,4.028
[00317] 78,-0.983,0.159,0.141,8.9,26.66,8.97,92.24,29.57,4286,1843,123,4.028
[00318] 79,-0.949,0.232,0.128,-8.43,13.16,71.48,95.86,29.58,4000,2392,-54,4.025
[00319] 79,-0.865,0.373,0.024,19.29,20.1,24.82,102.66,29.59,3718,2747,-408,4.029
[00320] 79,-0.905,0.401,0.03,5.81,-5.97,1.89,90.43,29.61,3770,2643,-475,4.022
[00321] 79,-0.991,0.288,0.075,4.24,-12.6,-10.42,100.81,29.62,3876,2538,-211,4.024
[00322] 80,-0.908,0.288,0.135,-4.1,-6.73,2.89,101.08,29.62,3942,2473,89,4.025
[00323] 80,-1.007,0.266,0.101,11.07,7.28,-13.24,103.72,29.61,4080,2188,148,4.024
[00324] 80,-0.954,0.145,0.166,-6.34,9.34,-13.62,102.5,29.63,4235,1744,293,4.02
[00325] 80,-0.914,0.218,-0.018,7.89,-5.16,-32.84,103.67,29.64,4235,1685,122,4.027
[00326] 81,-1.056,-0.139,0.06,72.21,-4.56,-72.19,100.55,29.63,4489,112,20,4.024
[00327] 81,-0.893,-0.311,0.047,11.33,1.69,-31.0,97.73,29.65,4446,-390,-62,4.025
[00328] 81,-0.923,-0.487,0.022,-16.61,-9.1,-36.55,99.14,29.65,4294,-1141,-122,4.021
[00329] 81,-0.82,-0.511,0.006,-1.78,-4.34,-34.21,100.9,29.69,4197,-1446,-206,4.022
[00330] 82,-0.797,-0.589,-0.04,-8.74,15.61,-7.21,100.57,29.68,4015,-1800,-393,4.024
[00331] 82,-0.663,-0.713,-0.063,2.39,6.95,-27.56,100.76,29.69,3774,-2325,-427,4.025
[00332] 82,-0.61,-0.796,-0.048,-19.88,-2.16,-5.73,101.11,29.67,3448,-2781,-540,4.025
[00333] 82,-0.507,-0.882,-0.135,3.62,5.84,-19.76,98.83,29.7,3122,-3074,-701,4.024
[00334] 83,-0.493,-0.833,-0.159,-1.85,8.82,-24.77,99.1,29.7,2887,-3221,-914,4.026
[00335] 83,-0.396,-0.898,-0.153,-4.41,1.56,-9.38,99.83,29.71,2588,-3450,-941,4.024
[00336] 83,-0.357,-0.983,-0.188,-7.01,1.77,-18.97,100.54,29.69,2249,-3622,-1105,4.025
[00337] 83,-0.246,-0.927,-0.236,-2.83,5.95,-14.78,95.19,29.72,1973,-3729,-1215,4.021
[00338] 84,-0.176,-0.95,-0.248,-0.98,3.92,-14.57,93.77,29.67,1704,-3810,-1335,4.022
[00339] 84,-0.075,-0.99,-0.258,3.81,3.01,-13.75,93.16,29.74,1462,-3893,-1369,4.02
[00340] 84,-0.007,-1.009,-0.216,3.45,3.34,-12.53,95.93,29.75,1054,-4069,-1248,4.028
[00341] 84,0.057,-0.921,-0.176,-1.96,1.4,-9.79,99.48,29.74,745,-4133,-1237,4.024
[00342] 85,0.123,-1.032,-0.233,3.07,1.7,-19.24,97.43,29.73,405,-4164,-1248,4.025
[00343] 85,0.207,-1.033,-0.215,-1.13,-0.76,-15.5,100.92,29.74,65,-4179,-1230,4.025
[00344] 85,0.256,-0.914,-0.19,-5.53,-2.31,-13.33,95.94,29.77,-259,-4129,-1293,4.023
[00345] 85,0.377,-0.975,-0.242,2.89,8.44,-15.44,100.6,29.74,-650,-4036,-1369,4.023
[00346] 86,0.385,-0.887,-0.237,-1.68,-3.32,-7.85,100.7,29.75,-877,-3952,-1411,4.022
[00347] 86,0.462,-0.814,-0.187,4.31,-0.13,-10.95,98.17,29.75,-1068,-3887,-1395,4.026
[00348] 86,0.469,-0.867,-0.222,3.02,2.18,-12.96,99.07,29.76,-1319,-3826,-1323,4.023
[00349] 86,0.557,-0.765,-0.228,20.42,1.88,-28.38,96.18,29.76,-1711,-3642,-1262,4.02
[00350] 87,0.663,-0.82,-0.207,4.92,-3.42,-17.23,96.51,29.78,-2021,-3483,-1227,4.024
[00351] 87,0.659,-0.724,-0.177,0.75,-1.23,-7.92,97.92,29.76,-2186,-3372,-1231,4.024
[00352] 87,0.719,-0.637,-0.208,7.17,1.85,-12.53,93.18,29.76,-2427,-3185,-1208,4.02
[00353] 87,0.735,-0.584,-0.179,7.58,1.32,-25.47,100.53,29.77,-2620,-3024,-1195,4.028
[00354] 88,0.774,-0.661,-0.125,-1.19,13.97,-2.5,102.03,29.77,-2790,-2893,-1148,4.022
[00355] 88,0.873,-0.512,-0.135,-18.36,10.36,-20.66,96.84,29.75,-3014,-2691,-1048,4.026
[00356] 88,0.9,-0.205,-0.193,-4.19,2.08,-44.66,99.31,29.77,-3386,-2023,-1156,4.021
[00357] 88,0.98,-0.266,-0.156,-14.65,-2.92,-28.27,100.66,29.76,-3665,-1283,-1296,4.023
[00358] 89,0.953,0.15,-0.085,-3.47,8.65,-24.67,100.38,29.78,-3853,-625,-1242,4.023
[00359] 89,0.966,0.141,-0.132,0.66,-3.52,-24.52,99.76,29.77,-3848,13,-1368,4.023
[00360] 89,0.955,0.253,-0.185,3.16,2.65,-30.47,100.58,29.79,-3851,602,-1366,4.018
[00361] 89,0.871,0.438,-0.152,-8.34,0.58,-15.52,100.73,29.78,-3774,906,-1354,4.025
[00362] 90,0.881,0.394,-0.189,5.76,2.85,-15.48,100.45,29.82,-3696,1266,-1342,4.019
[00363] 90,0.806,0.541,-0.131,2.23,1.6,-11.63,100.5,29.79,-3619,1521,-1321,4.02
[00364] 90,0.766,0.596,-0.181,-2.9,1.82,-12.82,99.92,29.78,-3537,1695,-1369,4.025
[00365] 90,0.782,0.565,-0.167,2.73,2.76,-8.76,100.22,29.81,-3495,1803,-1370,4.026
[00366] 91,0.71,0.636,-0.159,-3.17,-1.46,-24.72,94.99,29.8,-3336,2185,-1330,4.025
[00367] 91,0.613,0.688,-0.178,12.82,2.44,-11.58,92.36,29.8,-3107,2556,-1357,4.022
[00368] 91,0.572,0.754,-0.185,-1.72,-2.57,-22.73,100.78,29.82,-2928,2772,-1449,4.024
[00369] 91,0.521,0.791,-0.238,10.76,-0.9,-14.87,92.1,29.82,-2663,3036,-1536,4.02
[00370] 92,0.445,0.846,-0.241,-9.73,-2.8,-14.33,99.93,29.84,-2358,3324,-1587,4.028
[00371] 92,0.317,0.888,-0.197,-3.09,0.27,-22.38,92.41,29.79,-2011,3625,-1549,4.024
[00372] 92,0.258,0.929,-0.256,2.71,0.27,-7.85,100.84,29.78,-1772,3687,-1722,4.022
[00373] 92,0.197,0.936,-0.269,-3.01,-1.87,-23.45,100.8,29.79,-1455,3813,-1803,4.026
[00374] 93,0.148,0.857,-0.196,-19.58,-6.15,-13.66,101.29,29.78,-1201,3962,-1745,4.023
[00375] 93,-0.034,0.982,-0.189,-10.41,7.8,0.99,92.87,29.8,-830,4200,-1482,4.025
[00376] 93,-0.034,0.958,-0.158,-7.03,-2.47,-12.46,96.0,29.82,-552,4312,-1362,4.025
[00377] 93,-0.127,1.027,-0.105,-0.67,8.55,-44.03,91.99,29.81,-48,4441,-1185,4.02
[00378] 94,-0.221,0.987,-0.104,-4.61,-0.64,-14.97,95.15,29.8,354,4455,-1127,4.027
[00379] 94,-0.322,0.927,-0.108,-0.69,-1.51,0.54,99.46,29.83,598,4407,-1201,4.025
[00380] 94,-0.425,0.888,-0.123,-12.27,3.87,-32.0,99.88,29.82,1204,4301,-1159,4.027
[00381] 94,-0.528,0.847,-0.093,-3.98,-4.45,-30.52,100.58,29.78,1724,4136,-1126,4.023
[00382] 95,-0.609,0.738,-0.13,-0.14,3.46,-19.37,96.16,29.83,2088,3982,-1071,4.02
[00383] 95,-0.676,0.731,-0.096,-0.59,-4.73,-7.85,100.73,29.81,2377,3820,-1055,4.021
[00384] 95,-0.708,0.684,-0.109,3.54,1.95,-6.34,100.77,29.81,2571,3700,-1001,4.024
[00385] 95,-0.766,0.646,-0.103,-3.44,-1.6,-46.43,100.78,29.82,3067,3227,-1058,4.024
[00386] 96,-0.885,0.45,-0.115,-5.4,-1.28,-23.11,100.89,29.84,3533,2728,-931,4.023
[00387] 96,-0.918,0.254,-0.052,0.3,-5.6,-8.66,100.62,29.84,3872,2339,-648,4.024
[00388] 96,-0.914,0.227,-0.052,0.1,1.72,-19.27,100.7,29.84,4047,2022,-664,4.025
[00389] 96,-0.998,0.128,-0.04,4.7,-0.37,-22.79,100.58,29.83,4233,1513,-685,4.022
[00390] 97,-1.027,0.044,-0.035,0.63,-10.57,-42.11,101.22,29.83,4407,934,-539,4.022
[00391] 97,-0.999,-0.255,-0.111,-31.48,35.25,-38.9,100.75,29.85,4399,445,-763,4.024
[00392] 97,-0.941,-0.178,-0.257,-8.69,27.15,-16.19,100.89,29.83,4179,28,-1422,4.022
[00393] 97,-0.934,-0.167,-0.39,-9.18,39.64,16.14,94.7,29.85,3808,433,-2086,4.026
[00394] 98,-0.833,-0.147,-0.598,-15.42,40.16,-0.03,96.35,29.86,3216,655,-2794,4.025
[00395] 98,-0.685,-0.081,-0.701,2.66,25.87,1.27,99.92,29.87,2638,704,-3288,4.021
[00396] 98,-0.608,-0.043,-0.8,-11.73,38.91,-0.24,100.77,29.85,2138,753,-3601,4.024
[00397] 98,-0.434,-0.018,-0.883,1.19,32.5,3.02,96.92,29.84,1441,859,-3901,4.025
[00398] 99,-0.35,0.021,-0.946,-1.27,-0.02,6.29,96.99,29.85,1032,989,-3993,4.023
[00399] 99,-0.254,-0.031,-0.969,10.14,21.64,3.2,95.33,29.82,602,895,-4084,4.022
[00400] 99,-0.098,0.011,-1.003,4.4,35.12,9.11,95.03,29.86,-142,861,-4119,4.023
[00401] 99,-0.008,-0.046,-1.006,17.76,14.92,8.17,94.07,29.87,-582,684,-4100,4.021
[00402] 100,0.105,-0.05,-0.924,2.63,43.2,5.73,93.37,29.88,-1177,400,-3986,4.023
[00403] 100,0.481,-0.153,-0.909,1.17,80.66,14.23,99.56,29.86,-2693,346,-3133,4.02
[00404] 100,0.643,-0.131,-0.757,-12.85,38.03,1.43,93.23,29.86,-3268,292,-2525,4.022
[00405] 100,0.704,-0.127,-0.631,-2.82,25.08,-1.88,100.85,29.9,-3589,261,-2022,4.019
[00406] 101,0.8,-0.118,-0.541,-2.61,24.95,0.63,103.43,29.87,-3809,313,-1554,4.022
[00407] 101,0.875,-0.13,-0.444,-1.79,15.05,-3.34,99.25,29.88,-3956,325,-1088,4.025
[00408] 101,0.922,-0.132,-0.379,3.27,8.75,4.2,96.37,29.87,-4034,288,-756,4.021
[00409] 101,0.934,-0.111,-0.336,-1.2,10.96,-1.14,100.92,29.88,-4062,293,-578,4.022
[00410] 102,0.933,-0.118,-0.262,-2.88,13.53,-11.52,97.05,29.87,-4075,408,-356,4.025
[00411] 102,1.0,-0.075,-0.242,8.89,13.34,5.92,97.3,29.86,-4053,572,-310,4.024
[00412] 102,1.035,-0.044,-0.148,5.95,-8.21,32.66,101.48,29.89,-4031,729,46,4.024
[00413] 102,1.017,0.059,-0.099,-61.31,28.6,-48.63,100.66,29.89,-3927,1159,496,4.025
[00414] 103,0.974,0.073,0.059,-8.83,-9.44,3.93,98.92,29.9,-3909,1157,861,4.024
[00415] 103,0.929,0.088,0.045,-5.35,3.86,3.6,100.89,29.91,-4016,733,1061,4.026
[00416] 103,1.01,-0.092,0.069,7.57,42.01,-14.8,100.31,29.89,-3829,832,1697,4.021
[00417] 103,0.928,0.039,0.259,6.82,31.69,3.87,100.51,29.89,-3559,903,2280,4.023
[00418] 104,0.861,-0.015,0.466,9.45,-21.76,-37.44,100.61,29.89,-3294,842,2749,4.029
[00419] 104,0.95,-0.075,0.39,-7.66,-35.58,21.39,99.45,29.91,-3386,633,2611,4.021
[00420] 104,0.976,-0.17,0.501,-6.82,22.49,-47.7,102.28,29.89,-3572,38,2407,4.02
[00421] 104,0.891,-0.204,0.45,15.58,3.56,1.92,100.39,29.91,-3528,257,2467,4.02
[00422] 105,0.872,-0.021,0.464,4.62,46.49,11.86,97.88,29.92,-3224,367,2940,4.022
[00423] 105,0.896,-0.099,0.665,17.16,24.55,-4.85,97.35,29.93,-2808,628,3387,4.024
[00424] 105,0.689,-0.124,0.615,-8.37,17.21,3.17,98.2,29.92,-2386,420,3804,4.021
[00425] 105,0.718,-0.072,0.831,4.74,28.99,0.73,101.52,29.9,-2079,667,4005,4.022
[00426] 106,0.531,-0.135,0.866,-25.71,34.81,-1.98,101.15,29.92,-1330,341,4453,4.024
[00427] 106,0.382,-0.102,0.92,-8.43,36.97,-2.62,93.35,29.9,-672,530,4665,4.031
[00428] 106,0.262,-0.121,0.931,-4.14,34.88,0.91,93.33,29.91,65,554,4783,4.027
[00429] 106,0.108,-0.099,0.969,5.66,19.66,4.47,98.68,29.9,709,614,4774,4.024
[00430] 107,-0.045,-0.094,1.04,0.11,30.44,-2.79,101.08,29.93,1298,616,4689,4.019
[00431] 107,-0.245,-0.099,0.988,-5.72,27.61,-0.04,102.0,29.92,2040,611,4447,4.025
[00432] 107,-0.339,-0.095,0.965,2.66,24.65,-2.17,95.95,29.91,2516,561,4204,4.023
[00433] 107,-0.422,-0.084,0.895,10.73,30.49,-2.72,93.35,29.96,3023,609,3842,4.022
[00434] 108,-0.57,-0.043,0.848,7.91,23.76,-3.77,92.76,29.92,3474,760,3378,4.021
[00435] 108,-0.667,-0.043,0.726,0.63,23.79,-6.46,99.58,29.93,3882,638,2874,4.019
[00436] 108,-0.873,0.01,0.571,-3.6,41.84,-8.13,97.59,29.93,4333,616,1953,4.028
[00437] 108,-0.88,-0.047,0.455,10.06,40.65,1.33,99.76,29.94,4520,570,1292,4.029
[00438] 109,-1.016,-0.098,0.303,-6.92,19.82,-2.51,95.15,29.93,4592,476,694,4.027
[00439] 109,-1.056,-0.029,0.162,1.87,30.97,0.82,102.15,29.92,4571,512,5,4.023
[00440] 109,-1.015,-0.003,0.052,-5.38,34.59,19.63,98.97,29.94,4394,747,-752,4.025
[00441] 109,-0.962,0.099,-0.217,28.89,27.44,-6.18,101.09,29.95,4065,757,-1486,4.026
[00442] 110,-1.017,0.008,-0.379,12.39,18.71,2.95,100.91,29.96,3770,760,-2003,4.023
[00443] 110,-0.851,0.126,-0.408,-10.46,31.62,10.07,100.4,29.96,3304,1141,-2503,4.025
[00444] 110,-0.81,0.146,-0.571,8.4,10.1,8.34,100.07,29.95,2927,1126,-2902,4.026
[00445] 110,-0.735,0.128,-0.787,29.85,-1.07,-27.21,98.68,29.95,2640,910,-3193,4.026
[00446] 111,-0.631,0.17,-0.845,-46.91,56.44,7.94,99.17,29.94,1924,1531,-3478,4.03
[00447] 111,-0.749,0.064,-0.697,61.21,-60.96,-33.08,100.61,29.95,2387,1049,-3350,4.021
[00448] 111,-0.946,-0.004,-0.461,18.78,-76.4,-18.09,100.36,29.96,3838,98,-1991,4.022
[00449] 111,-0.92,-0.115,-0.189,-170.85,-29.02,-96.11,100.56,29.97,4069,-361,-1503,4.03
[00450] 112,-0.887,-0.198,-0.04,74.85,-60.44,-104.94,98.72,29.96,3699,-2276,-794,4.022
[00451] 112,-0.79,-0.675,0.543,119.56,-70.31,27.9,98.45,29.96,3731,-1832,2393,4.027
[00452] 112,-0.165,0.047,0.233,-107.23,-171.44,-17.53,100.91,29.97,2040,-489,5145,4.028
[00453] 112,0.08,-1.248,0.59,87.72,19.47,24.46,95.46,29.99,120,-6647,3111,4.02
[00454] 113,0.043,-0.729,0.693,32.4,6.06,4.34,101.3,29.98,165,-6006,4011,4.025
[00455] 113,0.008,-0.797,0.658,17.85,4.59,5.32,101.29,29.98,366,-6196,3629,4.023
[00456] 113,-0.021,-0.769,0.658,-4.85,0.77,0.8,93.96,29.98,423,-6057,3678,4.026
[00457] 113,0.0,-0.729,0.68,0.03,1.01,-0.66,100.66,29.98,361,-5892,3873,4.027
[00458] 114,-0.009,-0.585,0.855,53.02,-0.56,-1.63,102.02,30.0,340,-4798,4792,4.025
[00459] 114,-0.047,-0.638,0.793,9.99,2.31,12.27,95.99,30.0,559,-4891,4565,4.022
[00460] 114,-0.032,-0.493,0.897,0.96,-1.73,-1.24,101.11,29.99,611,-4333,4699,4.026
[00461] 114,-0.026,-0.522,0.888,1.83,-1.99,-2.25,99.14,30.0,507,-4569,4624,4.025
[00462] 115,-0.014,-0.543,0.863,-4.67,1.7,2.44,99.35,30.0,576,-4619,4568,4.024
